id,day,weight,gender,adrenal,liver,heart,appendix,femstate,gonfat,bat,sulcer,kmethod,tail,blength,place,intestine,year,ADWBWind,gonind
rat491,322,299,1,182,19.64,1.35,4.14,2,0,0.155,2,1,17.4,21,3,188,8,0.608695652173913,0
rat492,261,386,1,162,19.7,1.58,4.57,4,4.82,0.65,1,1,20.5,23,9, ,2,0.419689119170984,1.76130026174335
rat493,169,289,1,140,19.71,1,3.47,3,1.62,0.603,1,1,16.2,20.5,3,145,7,0.484429065743945,0.963174317773006
rat494,167,317,1,120,19.8,1.5,3.6,3,2.5,0.23,1,3,14.5,22,1, ,3,0.378548895899054,1.25276296849537
rat495,82,376.6,2,122.3,19.9,1.3,5, ,0,0.308,1,3,17,23,2, ,5,0.324747742963356,0
rat496,217,244,1,122,20.04,0.83,5.47,1,0.99,0.226,1,1,15.5,20.5,3,160,8,0.5,0.688134638736401
rat497,244,270,1,124.5,20.09,1.19,5.54,4,1.65,0.536,1,1,16.4,21,3,160,8,0.461111111111111,0.974559639998131
rat498,90,403.9,2,119.1,20.1,2.1,6.4, ,0,0.367,2,3,13.5,22,2, ,5,0.294874969051745,0
rat499,127,300,1,146,20.13,1.03,4.1,3,3.42,0.279,4,1,17,21,3,164,7,0.486666666666667,1.48613969608961
rat500,230,333,1,124.5,20.26,1.41,5.77,4,0.61,0.165,1,1,17.2,22.5,3,198,8,0.373873873873874,0.476234178996372
rat501,135,372,2,113.5,20.41,1.54,3.8, ,0,0.586,1,1,15.3,23,3,157,8,0.30510752688172,0
rat502,177,355,1,115.5,20.58,1.45,4.2,3,1.98,0.24,1,1,16.6,22.5,3,171,8,0.325352112676056,1.09192330051731
rat503,127,351,1,226.5,20.67,1.31,3.59,3,2.99,0.546,2,1,16.3,21,3,189,7,0.645299145299145,1.38379123090177
rat504,162,303,1,149,20.78,1.14,5.16,3,1.36,0.333,1,1,17.1,22,3,166,8,0.491749174917492,0.858661619037519
rat505,269,289.5,1,116.5,20.9,1,4.3,3,1.1,0.144,1,1,17.2,18.5,3,161,6,0.402417962003454,0.741937344729377
rat506,135,367,2,111.5,20.92,1.59,4.67, ,1.81,0.569,1,1,17.8,23,3,154,8,0.303814713896458,1.03318448334565
rat507,196,398,1,139,20.93,1.77,7.09,3,0.83,0.6,1,1,17.9,23.5,3,186,8,0.349246231155779,0.60431596685333
rat508,269,318.9,1,117.5,21,1,4.1,3,1.8,0.339,1,1,16.6,21,3,151.2,6,0.368454060834117,1.02961941718116
rat509,258,447,1,175,21,2.02,9.71,4,5.59,0.564,1,1,17.8,24.5,3,214,8,0.391498881431767,1.88555334851442
rat510,135,361,1,189.5,21.28,1.35,4.83,3,3.44,0.615,3,1,16.3,23,3,177,8,0.524930747922438,1.49065437644413
rat511,64,345,1,145,21.3,1.09,3.98,1,2.14,0.452,1,1,17.3,21.5,3,152,7,0.420289855072464,1.14422279992016
rat512,230,332,1,136.5,21.34,1.16,4.24,4,4.7,0.549,1,1,17.7,21,3,162,8,0.411144578313253,1.7404661748405
rat513,135,344,1,114.5,21.46,1.33,3.17,3,6.51,0.571,1,1,17.2,22.5,3,173,8,0.332848837209302,2.01623546577604
rat514,162,380,1,194,21.47,1.89,6.25,3,1.61,0.675,1,1,19,23,3,196,8,0.510526315789474,0.959350221334602
rat515,230,358,1,97,21.54,1.5,3.6,3,3.4,0.545,1,1,17.5,22.5,3,164,8,0.270949720670391,1.48160454092422
rat516,177,420,1,157,21.55,1.72,6.51,2,2.21,0.463,2,1,18.8,24,3,196,8,0.373809523809524,1.16627093714192
rat517,127,259,1,145,21.6,1.06,8.83,4,0,0.316,1,1,18,20.5,3,205,7,0.55984555984556,0
rat518,261,336,1,124,22,1.28,4.8,3,2.23,0.465,1,1,17.5,23,9, ,2,0.369047619047619,1.17248213723457
rat519,261,367,1,161,22,1.35,6.14,2,1.34,0.636,5,1,18,24,9, ,2,0.438692098092643,0.85015092936961
rat520,135,349,1,181.5,22.03,1.56,5.06, ,2.93,0.353,2,1,17.8,23,3,182,8,0.520057306590258,1.36863942588117
rat521,0,306,1,136,22.13,1.18,7.37,4,3.62,0.45,1,4,17.9,20,7,142, ,0.444444444444444,1.53039470509365
rat522,166,338,1,130,22.2,1.5,3.6,1,3.4,0.6,3,1,17.2,24,1, ,3,0.384615384615385,1.48160454092422
rat523,177,370,1,149,22.26,1.4,7.24,3,0.216,0.252,1,3,17.2,23,3,174.5,8,0.402702702702703,0.195566783543975
rat524,135,462,1,141,22.44,1.85,4.73,2,1.63,0.418,3,1,18,23,3,209,8,0.305194805194805,0.966983846189673
rat525,230,286,1,89.5,22.64,0.77,2.5,1,3,0.38,1,1,16.4,21,3,140,8,0.312937062937063,1.38629436111989
rat526,244,287,1,112,22.7,0.97,4.45,2,2.08,0.32,1,1,15.8,21,3,158,8,0.390243902439024,1.12492959698548
rat527,230,419,1,189,22.74,1.5,4.38,2,2.31,0.622,1,1,18.2,23.5,3,188,8,0.451073985680191,1.19694818938897
rat528,196,359,1,142.5,22.77,1.17,6.64,2,0,0.175,1,1,17,20.5,3,176,8,0.396935933147632,0
rat529,135,299,1,147,22.79,1.08,3.13,3,1.87,0.364,1,1,16.6,21.5,3,164,8,0.491638795986622,1.05431202977153
rat530,94,405,2,106.5,22.88,1.84,4.32, ,1.99,0.642,1,1,16.9,22,3,161,7,0.262962962962963,1.0952733874026
rat531,244,313,1,122,22.92,1.22,5.92,3,0.94,0.264,1,1,17,22.5,3,167,8,0.389776357827476,0.662687973075237
rat532,127,376,2,76,22.97,1.56,2.63, ,2.37,0.466,1,1,17.5,23.5,3,151,7,0.202127659574468,1.21491274436427
rat533,261,302,1,122.8,23,1.24,5.18,2,0.2,0.278,2,1,18,23,9, ,2,0.406622516556291,0.182321556793955
rat534,196,298,1,110,23.09,1.2,5.98,2,0.95,0.296,1,1,16.5,20.5,3,182,8,0.369127516778524,0.667829372575655
rat535,135,254,1,117.5,23.14,1.19,3.15,2,0,0.283,1,1,15,20.5,3,202,8,0.46259842519685,0
rat536,177,342,1,120,23.17,1.16,5.19,4,2.2,0.399,1,1,18.2,21,3,174,8,0.350877192982456,1.16315080980568
rat537,148,311,1,160,23.39,1.33,5.21,4,1.39,0.202,1,1,16,24,3,178,8,0.514469453376206,0.871293365943419
rat538,169,275,1,157.5,23.48,1.11,6.2,2,0,0.308,2,1,16,21,3,190,7,0.572727272727273,0
rat539,162,368,1,150,23.5,1.6,5.35,2,0.67,0.25,1,1,18.5,24,3,171,8,0.407608695652174,0.512823626428664
rat540,177,335,1,104,23.65,1.2,6.17,3,0.7,0.379,2,1,18.5,23,3,174,8,0.31044776119403,0.53062825106217
